,code,tradeStatus,code_name,isIndex,isSt
393,sh.600206,1,有研新材,False,False
394,sh.600207,1,安彩高科,False,False
395,sh.600208,1,新湖中宝,False,False
397,sh.600210,1,紫江企业,False,False
398,sh.600211,1,西藏药业,False,False
399,sh.600212,1,江泉实业,False,False
400,sh.600213,1,亚星客车,False,False
401,sh.600215,1,长春经开,False,False
402,sh.600216,1,浙江医药,False,False
403,sh.600217,1,中再资环,False,False
404,sh.600218,1,全柴动力,False,False
405,sh.600219,1,南山铝业,False,False
406,sh.600220,1,江苏阳光,False,False
407,sh.600221,1,海航控股,False,False
408,sh.600222,1,太龙药业,False,False
409,sh.600223,1,鲁商发展,False,False
410,sh.600225,1,天津松江,False,False
411,sh.600226,1,瀚叶股份,False,False
412,sh.600227,1,圣济堂,False,False
414,sh.600229,1,城市传媒,False,False
415,sh.600230,1,沧州大化,False,False
416,sh.600231,1,凌钢股份,False,False
417,sh.600232,1,金鹰股份,False,False
418,sh.600233,1,圆通速递,False,False
420,sh.600235,1,民丰特纸,False,False
421,sh.600236,1,桂冠电力,False,False
422,sh.600237,1,铜峰电子,False,False
424,sh.600239,1,云南城投,False,False
425,sh.600241,1,时代万恒,False,False
426,sh.600242,1,中昌数据,False,False
427,sh.600243,1,青海华鼎,False,False
428,sh.600246,1,万通地产,False,False
430,sh.600248,1,延长化建,False,False
431,sh.600249,1,两面针,False,False
432,sh.600250,1,南纺股份,False,False
433,sh.600251,1,冠农股份,False,False
434,sh.600252,1,中恒集团,False,False
435,sh.600255,1,梦舟股份,False,False
436,sh.600256,1,广汇能源,False,False
437,sh.600257,1,大湖股份,False,False
438,sh.600258,1,首旅酒店,False,False
439,sh.600259,1,广晟有色,False,False
440,sh.600260,1,凯乐科技,False,False
441,sh.600261,1,阳光照明,False,False
442,sh.600262,1,北方股份,False,False
444,sh.600266,1,城建发展,False,False
445,sh.600267,1,海正药业,False,False
446,sh.600268,1,国电南自,False,False
447,sh.600269,1,赣粤高速,False,False
448,sh.600271,1,航天信息,False,False
449,sh.600272,1,开开实业,False,False
450,sh.600273,1,嘉化能源,False,False
452,sh.600276,1,恒瑞医药,False,False
453,sh.600277,1,亿利洁能,False,False
454,sh.600278,1,东方创业,False,False
455,sh.600279,1,重庆港九,False,False
456,sh.600280,1,中央商场,False,False
457,sh.600281,1,太化股份,False,False
458,sh.600282,1,南钢股份,False,False
459,sh.600283,1,钱江水利,False,False
460,sh.600284,1,浦东建设,False,False
461,sh.600285,1,羚锐制药,False,False
462,sh.600287,1,江苏舜天,False,False
463,sh.600288,1,大恒科技,False,False
466,sh.600291,1,西水股份,False,False
467,sh.600292,1,远达环保,False,False
468,sh.600293,1,三峡新材,False,False
469,sh.600295,1,鄂尔多斯,False,False
470,sh.600297,1,广汇汽车,False,False
471,sh.600298,1,安琪酵母,False,False
472,sh.600299,1,安迪苏,False,False
473,sh.600300,1,维维股份,False,False
475,sh.600302,1,标准股份,False,False
476,sh.600303,1,曙光股份,False,False
477,sh.600305,1,恒顺醋业,False,False
478,sh.600306,1,商业城,False,False
479,sh.600307,1,酒钢宏兴,False,False
480,sh.600308,1,华泰股份,False,False
481,sh.600309,1,万华化学,False,False
482,sh.600310,1,桂东电力,False,False
483,sh.600311,1,荣华实业,False,False
484,sh.600312,1,平高电气,False,False
485,sh.600313,1,农发种业,False,False
486,sh.600315,1,上海家化,False,False
487,sh.600316,1,洪都航空,False,False
488,sh.600317,1,营口港,False,False
489,sh.600318,1,新力金融,False,False
491,sh.600320,1,振华重工,False,False
493,sh.600322,1,天房发展,False,False
494,sh.600323,1,瀚蓝环境,False,False
495,sh.600325,1,华发股份,False,False
496,sh.600326,1,西藏天路,False,False
497,sh.600327,1,大东方,False,False
498,sh.600328,1,兰太实业,False,False
499,sh.600329,1,中新药业,False,False
500,sh.600330,1,天通股份,False,False
501,sh.600331,1,宏达股份,False,False
502,sh.600332,1,白云山,False,False
503,sh.600333,1,长春燃气,False,False
504,sh.600335,1,国机汽车,False,False
505,sh.600336,1,澳柯玛,False,False
506,sh.600337,1,美克家居,False,False
507,sh.600338,1,西藏珠峰,False,False
508,sh.600339,1,中油工程,False,False
509,sh.600340,1,华夏幸福,False,False
510,sh.600343,1,航天动力,False,False
511,sh.600345,1,长江通信,False,False
512,sh.600346,1,恒力石化,False,False
513,sh.600348,1,阳泉煤业,False,False
514,sh.600350,1,山东高速,False,False
515,sh.600351,1,亚宝药业,False,False
516,sh.600352,1,浙江龙盛,False,False
517,sh.600353,1,旭光股份,False,False
518,sh.600354,1,敦煌种业,False,False
519,sh.600355,1,精伦电子,False,False
520,sh.600356,1,恒丰纸业,False,False
521,sh.600358,1,国旅联合,False,False
522,sh.600359,1,新农开发,False,False
523,sh.600360,1,华微电子,False,False
524,sh.600361,1,华联综超,False,False
525,sh.600362,1,江西铜业,False,False
526,sh.600363,1,联创光电,False,False
527,sh.600365,1,通葡股份,False,False
528,sh.600366,1,宁波韵升,False,False
529,sh.600367,1,红星发展,False,False
530,sh.600368,1,五洲交通,False,False
531,sh.600369,1,西南证券,False,False
532,sh.600370,1,三房巷,False,False
533,sh.600371,1,万向德农,False,False
534,sh.600372,1,中航电子,False,False
535,sh.600373,1,中文传媒,False,False
536,sh.600375,1,华菱星马,False,False
537,sh.600376,1,首开股份,False,False
538,sh.600377,1,宁沪高速,False,False
539,sh.600378,1,昊华科技,False,False
540,sh.600379,1,宝光股份,False,False
541,sh.600380,1,健康元,False,False
542,sh.600381,1,青海春天,False,False
543,sh.600382,1,广东明珠,False,False
544,sh.600383,1,金地集团,False,False
546,sh.600386,1,北巴传媒,False,False
547,sh.600387,1,海越能源,False,False
548,sh.600388,1,龙净环保,False,False
549,sh.600389,1,江山股份,False,False
550,sh.600390,1,五矿资本,False,False
551,sh.600391,1,航发科技,False,False
552,sh.600392,1,盛和资源,False,False
553,sh.600393,1,粤泰股份,False,False
554,sh.600395,1,盘江股份,False,False
556,sh.600397,1,安源煤业,False,False
557,sh.600398,1,海澜之家,False,False
559,sh.600400,1,红豆股份,False,False
560,sh.600403,1,大有能源,False,False
561,sh.600405,1,动力源,False,False
562,sh.600406,1,国电南瑞,False,False
564,sh.600409,1,三友化工,False,False
565,sh.600410,1,华胜天成,False,False
566,sh.600415,1,小商品城,False,False
567,sh.600416,1,湘电股份,False,False
568,sh.600418,1,江淮汽车,False,False
569,sh.600419,1,天润乳业,False,False
570,sh.600420,1,现代制药,False,False
572,sh.600422,1,昆药集团,False,False
574,sh.600425,1,青松建化,False,False
575,sh.600426,1,华鲁恒升,False,False
576,sh.600428,1,中远海特,False,False
577,sh.600429,1,三元股份,False,False
578,sh.600433,1,冠豪高新,False,False
579,sh.600435,1,北方导航,False,False
580,sh.600436,1,片仔癀,False,False
581,sh.600438,1,通威股份,False,False
582,sh.600439,1,瑞贝卡,False,False
583,sh.600444,1,国机通用,False,False
584,sh.600446,1,金证股份,False,False
585,sh.600448,1,华纺股份,False,False
586,sh.600449,1,宁夏建材,False,False
587,sh.600452,1,涪陵电力,False,False
588,sh.600455,1,博通股份,False,False
589,sh.600456,1,宝钛股份,False,False
590,sh.600458,1,时代新材,False,False
591,sh.600459,1,贵研铂业,False,False
592,sh.600460,1,士兰微,False,False
593,sh.600461,1,洪城水业,False,False
595,sh.600463,1,空港股份,False,False
596,sh.600466,1,蓝光发展,False,False
597,sh.600467,1,好当家,False,False
598,sh.600468,1,百利电气,False,False
599,sh.600469,1,风神股份,False,False
600,sh.600470,1,六国化工,False,False
601,sh.600475,1,华光股份,False,False
602,sh.600476,1,湘邮科技,False,False
603,sh.600477,1,杭萧钢构,False,False
604,sh.600478,1,科力远,False,False
605,sh.600479,1,千金药业,False,False
606,sh.600480,1,凌云股份,False,False
607,sh.600481,1,双良节能,False,False
608,sh.600482,1,中国动力,False,False
609,sh.600483,1,福能股份,False,False
611,sh.600486,1,扬农化工,False,False
612,sh.600487,1,亨通光电,False,False
613,sh.600488,1,天药股份,False,False
614,sh.600489,1,中金黄金,False,False
615,sh.600490,1,鹏欣资源,False,False
616,sh.600491,1,龙元建设,False,False
617,sh.600493,1,凤竹纺织,False,False
618,sh.600495,1,晋西车轴,False,False
619,sh.600496,1,精工钢构,False,False
620,sh.600497,1,驰宏锌锗,False,False
621,sh.600498,1,烽火通信,False,False
622,sh.600499,1,科达洁能,False,False
623,sh.600500,1,中化国际,False,False
624,sh.600501,1,航天晨光,False,False
625,sh.600502,1,安徽建工,False,False
626,sh.600503,1,华丽家族,False,False
627,sh.600505,1,西昌电力,False,False
628,sh.600506,1,香梨股份,False,False
629,sh.600507,1,方大特钢,False,False
630,sh.600508,1,上海能源,False,False
631,sh.600509,1,天富能源,False,False
632,sh.600510,1,黑牡丹,False,False
633,sh.600511,1,国药股份,False,False
634,sh.600512,1,腾达建设,False,False
635,sh.600513,1,联环药业,False,False
636,sh.600515,1,海航基础,False,False
637,sh.600516,1,方大炭素,False,False
638,sh.600517,1,置信电气,False,False
640,sh.600519,1,贵州茅台,False,False
641,sh.600520,1,文一科技,False,False
642,sh.600521,1,华海药业,False,False
643,sh.600522,1,中天科技,False,False
644,sh.600523,1,贵航股份,False,False
645,sh.600525,1,长园集团,False,False
647,sh.600527,1,江南高纤,False,False
648,sh.600528,1,中铁工业,False,False
649,sh.600529,1,山东药玻,False,False
650,sh.600530,1,交大昂立,False,False
651,sh.600531,1,豫光金铅,False,False
652,sh.600532,1,宏达矿业,False,False
653,sh.600533,1,栖霞建设,False,False
654,sh.600535,1,天士力,False,False
655,sh.600536,1,中国软件,False,False
656,sh.600537,1,亿晶光电,False,False
657,sh.600538,1,国发股份,False,False
659,sh.600540,1,新赛股份,False,False
660,sh.600543,1,莫高股份,False,False
661,sh.600545,1,卓郎智能,False,False
662,sh.600546,1,山煤国际,False,False
663,sh.600547,1,山东黄金,False,False
664,sh.600548,1,深高速,False,False
665,sh.600549,1,厦门钨业,False,False
666,sh.600550,1,保变电气,False,False
667,sh.600551,1,时代出版,False,False
668,sh.600552,1,凯盛科技,False,False
669,sh.600555,1,海航创新,False,False
671,sh.600557,1,康缘药业,False,False
672,sh.600558,1,大西洋,False,False
673,sh.600559,1,老白干酒,False,False
674,sh.600560,1,金自天正,False,False
675,sh.600561,1,江西长运,False,False
676,sh.600562,1,国睿科技,False,False
677,sh.600563,1,法拉电子,False,False
678,sh.600565,1,迪马股份,False,False
679,sh.600566,1,济川药业,False,False
680,sh.600567,1,山鹰纸业,False,False
